time,title,description,tags
00:04:31,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:37,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:39,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:04:40,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:04:42,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:44,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:47,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:49,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:52,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:53,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:55,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:55,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:57,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:59,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:02,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:05,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:05:08,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:11,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:12,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:13,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:16,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:05:18,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:20,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:05:26,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
